"nation","year_to_survive_to","deferral_reduction","idu_type","deferral_effect_year","calibration_prevalence_1991","donor_non_clearance","contamination_constant","contamination_constant_prop","units_per_donation_scenario","trans_survival_years","hepc_survival_hazard","survivor_non_clearance","trans_survival_hazard_scenario","total_infected","total_chronic_infected","total_chronic_survived_transfusion","chronic_infected_survived_long_hepc_trans","died_trans_hcv","excess_deaths_hcv"
"England",2019,0.33,"ever",1986,0.066,0.74,0.0165,0.25,"NBTSS",10,1,0.82,"age",16326,13388,4948,1943,11445,0
"England",2019,0.33,"ever",1986,0.066,0.74,0.033,0.5,"NBTSS",10,1,0.82,"age",17584,14419,5329,2067,12352,0
"England",2019,0.33,"ever",1986,0.066,0.74,0.066,1,"NBTSS",10,1,0.82,"age",20101,16483,6092,2317,14166,0
"England",2019,0.67,"ever",1985,0.066,0.74,0,0,"NBTSS",10,1,0.82,"none",22763,18666,6899,2780,15885,0
"England",2019,0.67,"ever",1985,0.066,0.74,0.0165,0.25,"NBTSS",10,1,0.82,"none",22098,18120,6697,2698,15422,0
"England",2019,0.67,"ever",1985,0.066,0.74,0.033,0.5,"NBTSS",10,1,0.82,"none",21432,17574,6495,2616,14958,0
"England",2019,0.67,"ever",1985,0.066,0.74,0.066,1,"NBTSS",10,1,0.82,"none",20101,16483,6092,2451,14031,0
"England",2019,0.67,"ever",1986,0.066,0.74,0,0,"NBTSS",10,1,0.82,"none",24358,19973,7382,2991,16982,0
"England",2019,0.67,"ever",1986,0.066,0.74,0.0165,0.25,"NBTSS",10,1,0.82,"none",23294,19101,7060,2856,16244,0
"England",2019,0.67,"ever",1986,0.066,0.74,0.033,0.5,"NBTSS",10,1,0.82,"none",22229,18228,6737,2721,15507,0
"England",2019,0.67,"ever",1986,0.066,0.74,0.066,1,"NBTSS",10,1,0.82,"none",20101,16483,6092,2451,14031,0
"England",2019,0.33,"ever",1985,0.066,0.74,0,0,"NBTSS",10,1,0.82,"none",14683,12040,4450,1876,10164,0
"England",2019,0.33,"ever",1985,0.066,0.74,0.0165,0.25,"NBTSS",10,1,0.82,"none",16038,13151,4861,2020,11131,0
"England",2019,0.33,"ever",1985,0.066,0.74,0.033,0.5,"NBTSS",10,1,0.82,"none",17392,14261,5271,2164,12098,0
"England",2019,0.33,"ever",1985,0.066,0.74,0.066,1,"NBTSS",10,1,0.82,"none",20101,16483,6092,2451,14031,0
"England",2019,0.33,"ever",1986,0.066,0.74,0,0,"NBTSS",10,1,0.82,"none",15068,12356,4567,1927,10429,0
"England",2019,0.33,"ever",1986,0.066,0.74,0.0165,0.25,"NBTSS",10,1,0.82,"none",16326,13388,4948,2058,11330,0
"England",2019,0.33,"ever",1986,0.066,0.74,0.033,0.5,"NBTSS",10,1,0.82,"none",17584,14419,5329,2189,12230,0
"England",2019,0.33,"ever",1986,0.066,0.74,0.066,1,"NBTSS",10,1,0.82,"none",20101,16483,6092,2451,14031,0
"England",2019,0.33,"past",1986,0.066,0.74,0,0,"NBTSS",10,1.53,0.82,"basic",13784,11303,4178,1540,9763,914
"England",2019,0.33,"past",1986,0.066,0.74,0.0165,0.25,"NBTSS",10,1.53,0.82,"basic",15363,12598,4656,1687,10911,1029
"England",2019,0.33,"past",1986,0.066,0.74,0.033,0.5,"NBTSS",10,1.53,0.82,"basic",16943,13893,5135,1834,12059,1143
"England",2019,0.33,"past",1986,0.066,0.74,0.066,1,"NBTSS",10,1.53,0.82,"basic",20101,16483,6092,2128,14355,1373
"England",2019,0.33,"past",1987,0.066,0.74,0,0,"NBTSS",10,1.53,0.82,"basic",14174,11622,4296,1586,10036,939
"England",2019,0.33,"past",1987,0.066,0.74,0.0165,0.25,"NBTSS",10,1.53,0.82,"basic",15656,12838,4745,1722,11116,1047
"England",2019,0.33,"past",1987,0.066,0.74,0.033,0.5,"NBTSS",10,1.53,0.82,"basic",17137,14053,5194,1857,12196,1156
"England",2019,0.33,"past",1987,0.066,0.74,0.066,1,"NBTSS",10,1.53,0.82,"basic",20101,16483,6092,2128,14355,1373
"England",2019,0.2,"past",1986,0.066,0.74,0,0,"NBTSS",10,1.53,0.82,"basic",12496,10247,3787,1412,8835,823
"England",2019,0.2,"past",1986,0.066,0.74,0.0165,0.25,"NBTSS",10,1.53,0.82,"basic",14397,11806,4363,1591,10215,961
"England",2019,0.2,"past",1986,0.066,0.74,0.033,0.5,"NBTSS",10,1.53,0.82,"basic",16298,13365,4940,1770,11595,1098
"England",2019,0.2,"past",1986,0.066,0.74,0.066,1,"NBTSS",10,1.53,0.82,"basic",20101,16483,6092,2128,14355,1373
"England",2019,0.2,"past",1987,0.066,0.74,0,0,"NBTSS",10,1.53,0.82,"basic",12695,10410,3847,1435,8974,836
"England",2019,0.2,"past",1987,0.066,0.74,0.0165,0.25,"NBTSS",10,1.53,0.82,"basic",14546,11928,4409,1608,10320,970
"England",2019,0.2,"past",1987,0.066,0.74,0.033,0.5,"NBTSS",10,1.53,0.82,"basic",16398,13446,4970,1781,11665,1104
"England",2019,0.2,"past",1987,0.066,0.74,0.066,1,"NBTSS",10,1.53,0.82,"basic",20101,16483,6092,2128,14355,1373
"England",2019,0.33,"past",1986,0.066,0.74,0,0,"NBTSS",10,1.53,0.82,"age",13784,11303,4178,1464,9839,940
"England",2019,0.33,"past",1986,0.066,0.74,0.0165,0.25,"NBTSS",10,1.53,0.82,"age",15363,12598,4656,1604,10994,1057
"England",2019,0.33,"past",1986,0.066,0.74,0.033,0.5,"NBTSS",10,1.53,0.82,"age",16943,13893,5135,1744,12149,1175
"England",2019,0.33,"past",1986,0.066,0.74,0.066,1,"NBTSS",10,1.53,0.82,"age",20101,16483,6092,2024,14459,1409
"England",2019,0.33,"past",1987,0.066,0.74,0,0,"NBTSS",10,1.53,0.82,"age",14174,11622,4296,1507,10115,966
"England",2019,0.33,"past",1987,0.066,0.74,0.0165,0.25,"NBTSS",10,1.53,0.82,"age",15656,12838,4745,1636,11201,1077
"England",2019,0.33,"past",1987,0.066,0.74,0.033,0.5,"NBTSS",10,1.53,0.82,"age",17137,14053,5194,1766,12287,1188
"England",2019,0.33,"past",1987,0.066,0.74,0.066,1,"NBTSS",10,1.53,0.82,"age",20101,16483,6092,2024,14459,1409
"England",2019,0.2,"past",1986,0.066,0.74,0,0,"NBTSS",10,1.53,0.82,"age",12496,10247,3787,1342,8905,847
"England",2019,0.2,"past",1986,0.066,0.74,0.0165,0.25,"NBTSS",10,1.53,0.82,"age",14397,11806,4363,1512,10294,988
"England",2019,0.2,"past",1986,0.066,0.74,0.033,0.5,"NBTSS",10,1.53,0.82,"age",16298,13365,4940,1683,11682,1128
"England",2019,0.2,"past",1986,0.066,0.74,0.066,1,"NBTSS",10,1.53,0.82,"age",20101,16483,6092,2024,14459,1409
"England",2019,0.2,"past",1987,0.066,0.74,0,0,"NBTSS",10,1.53,0.82,"age",12695,10410,3847,1364,9046,860
"England",2019,0.2,"past",1987,0.066,0.74,0.0165,0.25,"NBTSS",10,1.53,0.82,"age",14546,11928,4409,1529,10399,998
"England",2019,0.2,"past",1987,0.066,0.74,0.033,0.5,"NBTSS",10,1.53,0.82,"age",16398,13446,4970,1694,11752,1135
"England",2019,0.2,"past",1987,0.066,0.74,0.066,1,"NBTSS",10,1.53,0.82,"age",20101,16483,6092,2024,14459,1409
"England",2019,0.33,"past",1986,0.066,0.74,0,0,"NBTSS",10,1.53,0.82,"none",13784,11303,4178,1581,9722,899
"England",2019,0.33,"past",1986,0.066,0.74,0.0165,0.25,"NBTSS",10,1.53,0.82,"none",15363,12598,4656,1731,10867,1013
"England",2019,0.33,"past",1986,0.066,0.74,0.033,0.5,"NBTSS",10,1.53,0.82,"none",16943,13893,5135,1881,12012,1127
"England",2019,0.33,"past",1986,0.066,0.74,0.066,1,"NBTSS",10,1.53,0.82,"none",20101,16483,6092,2180,14302,1355
"England",2019,0.33,"past",1987,0.066,0.74,0,0,"NBTSS",10,1.53,0.82,"none",14174,11622,4296,1629,9994,924
"England",2019,0.33,"past",1987,0.066,0.74,0.0165,0.25,"NBTSS",10,1.53,0.82,"none",15656,12838,4745,1767,11071,1032
"England",2019,0.33,"past",1987,0.066,0.74,0.033,0.5,"NBTSS",10,1.53,0.82,"none",17137,14053,5194,1905,12148,1139
"England",2019,0.33,"past",1987,0.066,0.74,0.066,1,"NBTSS",10,1.53,0.82,"none",20101,16483,6092,2180,14302,1355
"England",2019,0.2,"past",1986,0.066,0.74,0,0,"NBTSS",10,1.53,0.82,"none",12496,10247,3787,1450,8796,810
"England",2019,0.2,"past",1986,0.066,0.74,0.0165,0.25,"NBTSS",10,1.53,0.82,"none",14397,11806,4363,1633,10173,946
"England",2019,0.2,"past",1986,0.066,0.74,0.033,0.5,"NBTSS",10,1.53,0.82,"none",16298,13365,4940,1815,11549,1082
"England",2019,0.2,"past",1986,0.066,0.74,0.066,1,"NBTSS",10,1.53,0.82,"none",20101,16483,6092,2180,14302,1355
"England",2019,0.2,"past",1987,0.066,0.74,0,0,"NBTSS",10,1.53,0.82,"none",12695,10410,3847,1474,8935,822
"England",2019,0.2,"past",1987,0.066,0.74,0.0165,0.25,"NBTSS",10,1.53,0.82,"none",14546,11928,4409,1651,10277,955
"England",2019,0.2,"past",1987,0.066,0.74,0.033,0.5,"NBTSS",10,1.53,0.82,"none",16398,13446,4970,1827,11619,1088
"England",2019,0.2,"past",1987,0.066,0.74,0.066,1,"NBTSS",10,1.53,0.82,"none",20101,16483,6092,2180,14302,1355
"England",2019,0.33,"past",1986,0.066,0.74,0,0,"NBTSS",10,1,0.82,"basic",13784,11303,4178,1729,9574,0
"England",2019,0.33,"past",1986,0.066,0.74,0.0165,0.25,"NBTSS",10,1,0.82,"basic",15363,12598,4656,1896,10702,0
"England",2019,0.33,"past",1986,0.066,0.74,0.033,0.5,"NBTSS",10,1,0.82,"basic",16943,13893,5135,2063,11830,0
"England",2019,0.33,"past",1986,0.066,0.74,0.066,1,"NBTSS",10,1,0.82,"basic",20101,16483,6092,2397,14085,0
"England",2019,0.33,"past",1987,0.066,0.74,0,0,"NBTSS",10,1,0.82,"basic",14174,11622,4296,1780,9842,0
"England",2019,0.33,"past",1987,0.066,0.74,0.0165,0.25,"NBTSS",10,1,0.82,"basic",15656,12838,4745,1935,10903,0
"England",2019,0.33,"past",1987,0.066,0.74,0.033,0.5,"NBTSS",10,1,0.82,"basic",17137,14053,5194,2089,11964,0
"England",2019,0.33,"past",1987,0.066,0.74,0.066,1,"NBTSS",10,1,0.82,"basic",20101,16483,6092,2397,14085,0
