"transfusion_year","sex","transfusion_age","survival_time","susceptible","transfusion_age_midpoint","variable","probability","expected_survivors","expected_deaths","observed_deaths","obs_to_exp"
2004,"male","60 - 69",5,1327,65,"survival_0_5",0.889348802664702,1180.16586113606,146.834138863941,702,4.78090453236142
2004,"male","70 - 79",5,1738,75,"survival_0_5",0.735483722484783,1278.27070967855,459.729290321447,1090,2.37096052600403
2004,"male","80+",5,1082,90,"survival_0_5",0.27837343028522,301.200051568608,780.799948431392,880,1.12704925476481
2004,"female","0",10,98,0,"survival_5_10",0.999684038508739,97.9690357738564,0.0309642261435812,0,0
2004,"female","1 - 9",10,37,5,"survival_5_10",0.999633051942458,36.9864229218709,0.0135770781290532,0,0
2004,"female","10 - 19",10,103,15,"survival_5_10",0.998306148281035,102.825533272947,0.174466727053385,2,11.4635038656283
2004,"female","20 - 29",10,243,25,"survival_5_10",0.996840984884159,242.232359326851,0.767640673149373,3,3.90807848637306
2004,"female","30 - 39",10,358,35,"survival_5_10",0.992883304200325,355.452222903716,2.54777709628365,10,3.92499014713125
2004,"female","40 - 49",10,303,45,"survival_5_10",0.983204733777376,297.911034334545,5.08896566545508,32,6.28811473758262
2004,"female","50 - 59",10,380,55,"survival_5_10",0.9601700233894,364.864608887972,15.135391112028,60,3.96421866841078
2004,"female","60 - 69",10,591,65,"survival_5_10",0.897855710521634,530.632724918286,60.3672750817143,145,2.401963643443
2004,"female","70 - 79",10,821,75,"survival_5_10",0.717676602596061,589.212490731366,231.787509268634,345,1.48843223299042
2004,"female","80+",10,598,90,"survival_5_10",0.189847406686763,113.528749198684,484.471250801316,375,0.774039737919948
2004,"male","0",10,140,0,"survival_5_10",0.999400141391599,139.916019794824,0.0839802051761467,0,0
2004,"male","1 - 9",10,50,5,"survival_5_10",0.999452116740949,49.9726058370475,0.0273941629525467,2,73.0082537460437
2004,"male","10 - 19",10,65,15,"survival_5_10",0.996235640996494,64.7553166647721,0.24468333522789,3,12.2607450859124
2004,"male","20 - 29",10,92,25,"survival_5_10",0.99258805005856,91.3181006053875,0.681899394612486,4,5.86596795891444
2004,"male","30 - 39",10,131,35,"survival_5_10",0.98718696913058,129.321492956106,1.67850704389403,19,11.3195831194853
2004,"male","40 - 49",10,207,45,"survival_5_10",0.975373697725097,201.902355429095,5.09764457090492,23,4.51188773169352
2004,"male","50 - 59",10,359,55,"survival_5_10",0.941253519204157,337.910013394292,21.0899866057076,57,2.70270441919456
2004,"male","60 - 69",10,627,65,"survival_5_10",0.85298741558661,534.823109572804,92.1768904271955,178,1.93106969843586
2004,"male","70 - 79",10,652,75,"survival_5_10",0.64018746858501,417.402229517427,234.597770482573,301,1.28304714653015
2004,"male","80+",10,209,90,"survival_5_10",0.147223043906759,30.7696161765126,178.230383823487,136,0.763057325482109
2004,"female","0",15,97,0,"survival_10_15",0.999528077702578,96.9542235371501,0.0457764628499291,0,0
2004,"female","1 - 9",15,37,5,"survival_10_15",0.998990403293215,36.962644921849,0.0373550781510446,2,53.5402440308929
2004,"female","10 - 19",15,100,15,"survival_10_15",0.99789975855999,99.789975855999,0.210024144000997,3,14.2840720254799
2004,"female","20 - 29",15,236,25,"survival_10_15",0.994345606455489,234.665563123495,1.33443687650461,2,1.49875954060768
2004,"female","30 - 39",15,338,35,"survival_10_15",0.989589540687242,334.481264752288,3.51873524771219,6,1.70515812575018
2004,"female","40 - 49",15,270,45,"survival_10_15",0.975251671247272,263.317951236763,6.68204876323659,19,2.8434392913345
2004,"female","50 - 59",15,318,55,"survival_10_15",0.942086424415577,299.583482964153,18.4165170358465,43,2.3348605991189
2004,"female","60 - 69",15,445,65,"survival_10_15",0.839548931269791,373.599274415057,71.400725584943,129,1.80670432888715
2004,"female","70 - 79",15,474,75,"survival_10_15",0.560906311653374,265.869591723699,208.130408276301,264,1.26843550726874
2004,"female","80+",15,222,90,"survival_10_15",NA,NA,NA,152,NA
2004,"male","0",15,138,0,"survival_10_15",0.999338170558691,137.908667537099,0.0913324629006524,2,21.8980189133355
2004,"male","1 - 9",15,47,5,"survival_10_15",0.998152305191254,46.9131583439889,0.0868416560110603,0,0
2004,"male","10 - 19",15,61,15,"survival_10_15",0.995317738470048,60.7143820466729,0.285617953327069,1,3.50118046975455
2004,"male","20 - 29",15,85,25,"survival_10_15",0.990209376526972,84.1677970047926,0.832202995207382,6,7.20977938622394
2004,"male","30 - 39",15,110,35,"survival_10_15",0.981510476077902,107.966152368569,2.03384763143079,11,5.40846808286303
2004,"male","40 - 49",15,183,45,"survival_10_15",0.963824190507876,176.379826862941,6.62017313705869,27,4.07844318283132
2004,"male","50 - 59",15,293,55,"survival_10_15",0.91353462633052,267.665645514842,25.3343544851576,47,1.85518837780277
2004,"male","60 - 69",15,442,65,"survival_10_15",0.784239298368074,346.633769878689,95.3662301213113,133,1.39462365064464
2004,"male","70 - 79",15,350,75,"survival_10_15",0.480874260907734,168.305991317707,181.694008682293,181,0.996180343604468
2004,"male","80+",15,72,90,"survival_10_15",NA,NA,NA,43,NA
2004,"female","0",20,97,0,"survival_15_20",NA,NA,NA,0,NA
2004,"female","1 - 9",20,30,5,"survival_15_20",NA,NA,NA,0,NA
2004,"female","10 - 19",20,94,15,"survival_15_20",NA,NA,NA,0,NA
2004,"female","20 - 29",20,230,25,"survival_15_20",NA,NA,NA,0,NA
2004,"female","30 - 39",20,331,35,"survival_15_20",NA,NA,NA,0,NA
2004,"female","40 - 49",20,247,45,"survival_15_20",NA,NA,NA,4,NA
2004,"female","50 - 59",20,273,55,"survival_15_20",NA,NA,NA,3,NA
2004,"female","60 - 69",20,314,65,"survival_15_20",NA,NA,NA,12,NA
2004,"female","70 - 79",20,207,75,"survival_15_20",NA,NA,NA,20,NA
2004,"female","80+",20,71,90,"survival_15_20",NA,NA,NA,6,NA
2004,"male","0",20,135,0,"survival_15_20",NA,NA,NA,0,NA
2004,"male","1 - 9",20,47,5,"survival_15_20",NA,NA,NA,0,NA
2004,"male","10 - 19",20,60,15,"survival_15_20",NA,NA,NA,1,NA
2004,"male","20 - 29",20,77,25,"survival_15_20",NA,NA,NA,0,NA
2004,"male","30 - 39",20,99,35,"survival_15_20",NA,NA,NA,1,NA
2004,"male","40 - 49",20,151,45,"survival_15_20",NA,NA,NA,2,NA
2004,"male","50 - 59",20,245,55,"survival_15_20",NA,NA,NA,6,NA
2004,"male","60 - 69",20,306,65,"survival_15_20",NA,NA,NA,14,NA
2004,"male","70 - 79",20,165,75,"survival_15_20",NA,NA,NA,11,NA
2004,"male","80+",20,29,90,"survival_15_20",NA,NA,NA,0,NA
